Código;Distrito;Material noble;Calamina o tejas;Material precario;Cemento;Tierra;Parquet, losetas o similares;Material noble;Material de adobe o tapia;Material precario;Con agua por red pública domiciliaria;Pilón o pileta de uso público;Pozo (Agua subterránea);No tiene agua por red pública
150101;Lima, Lima, distrito: Lima;   58 442;   3 682;   1 846;   25 623;509;   44 251;   63 412;   6 059;   3 930;   73 763;368;12;222
150102;Lima, Lima, distrito: Ancón;   4 986;   9 534;   1 106;   11 706;   2 790;   1 911;   8 705;   1 010;429;   6 917;   1 660;64;   8 086
150103;Lima, Lima, distrito: Ate;   108 176;   35 384;   4 411;   86 370;   12 790;   51 164;   124 421;   2 549;   4 276;   129 982;   8 034;   1 099;   12 571
150104;Lima, Lima, distrito: Barranco;   8 253;510;309;   2 909;47;   7 642;   8 855;   1 925;117;   10 945;2;0;6
150105;Lima, Lima, distrito: Breña;   18 726;   1 302;754;   6 815;41;   16 591;   20 219;   3 347;584;   24 363;27;0;9
150106;Lima, Lima, distrito: Carabayllo;   43 703;   30 816;   2 978;   46 790;   12 757;   19 330;   57 255;   5 525;   2 118;   61 452;   3 611;   2 923;   11 555
150107;Lima, Lima, distrito: Chaclacayo;   7 611;   1 553;265;   5 071;255;   4 371;   9 010;333;84;   9 409;36;230;92
150108;Lima, Lima, distrito: Chorrillos;   56 984;   11 830;   2 416;   33 949;   1 885;   36 881;   65 791;753;   2 175;   69 175;   1 086;141;   3 074
150109;Lima, Lima, distrito: Cieneguilla;   3 334;   4 847;451;   5 954;   1 300;   1 605;   5 590;100;475;   3 988;136;520;   4 310
150110;Lima, Lima, distrito: Comas;   90 139;   22 903;   3 362;   63 773;   6 975;   46 917;   106 186;817;   2 618;   108 295;   3 690;   1 074;   5 316
150111;Lima, Lima, distrito: El Agustino;   38 717;   5 023;   1 655;   26 517;   1 237;   18 706;   44 395;918;564;   45 922;446;10;348
150112;Lima, Lima, distrito: Independencia;   34 731;   11 206;   1 627;   27 847;   3 472;   16 925;   42 207;684;   1 954;   45 139;   1 294;90;   2 028
150113;Lima, Lima, distrito: Jesús María;   21 655;439;180;   1 914;12;   20 667;   22 055;748;138;   22 991;20;0;0
150114;Lima, Lima, distrito: La Molina;   35 939;   1 183;165;   4 093;127;   33 117;   37 434;33;101;   37 155;437;7;248
150115;Lima, Lima, distrito: La Victoria;   39 907;   3 385;   1 219;   20 407;253;   26 976;   44 328;   3 016;869;   48 607;78;0;103
150116;Lima, Lima, distrito: Lince;   15 127;732;255;   2 793;18;   14 219;   15 859;   1 361;183;   17 497;20;0;8
150117;Lima, Lima, distrito: Los Olivos;   73 276;   7 118;   1 592;   32 633;   2 025;   47 897;   78 861;   2 896;389;   82 646;139;7;56
150118;Lima, Lima, distrito: Lurigancho;   32 476;   24 391;   2 182;   37 333;   8 469;   14 366;   44 887;   3 749;   1 890;   32 849;   1 444;   6 763;   19 827
150119;Lima, Lima, distrito: Lurin;   12 662;   7 206;   1 296;   14 299;   1 585;   5 813;   17 102;319;   1 212;   12 526;   2 380;   2 728;   4 303
150120;Lima, Lima, distrito: Magdalena del Mar;   17 048;535;165;   2 122;14;   16 103;   17 627;724;114;   18 538;2;0;2
150121;Lima, Lima, distrito: Pueblo Libre;   23 855;684;188;   2 452;30;   22 607;   24 623;490;99;   25 306;6;0;3
150122;Lima, Lima, distrito: Miraflores;   35 365;571;218;   2 598;16;   33 201;   35 965;837;99;   36 953;0;0;0
150123;Lima, Lima, distrito: Pachacamac;   10 272;   15 631;961;   19 679;   5 041;   2 952;   16 274;296;   1 254;   14 112;346;   2 242;   11 449
150124;Lima, Lima, distrito: Pucusana;   1 293;   2 106;651;   2 763;681;732;   2 369;40;   1 022;   1 635;65;20;   2 513
150125;Lima, Lima, distrito: Puente Piedra;   42 740;   28 083;   4 823;   48 721;   13 054;   16 424;   55 717;   1 919;   2 703;   61 913;   5 706;   2 891;   8 700
150126;Lima, Lima, distrito: Punta Hermosa;   1 563;   3 131;518;   2 486;   1 886;   1 046;   2 438;42;982;   1 283;207;241;   3 742
150127;Lima, Lima, distrito: Punta Negra;976;525;266;   1 085;148;600;   1 615;8;76;564;876;9;395
150128;Lima, Lima, distrito: Rímac;   31 740;   7 375;   1 321;   21 300;   2 084;   20 703;   37 160;   3 874;   2 442;   43 078;   1 489;22;918
150129;Lima, Lima, distrito: San Bartolo;   1 263;406;183;919;95;908;   1 660;58;66;   1 336;2;1;594
150130;Lima, Lima, distrito: San Borja;   32 880;372;100;   1 925;26;   31 207;   33 406;22;27;   33 489;0;0;8
150131;Lima, Lima, distrito: San Isidro;   20 252;204;53;   1 317;9;   18 654;   20 545;82;11;   20 651;0;0;1
150132;Lima, Lima, distrito: San Juan de Lurigancho;   165 242;   78 454;   6 362;   150 092;   26 349;   76 685;   196 780;726;   11 906;   204 268;   24 139;394;   26 721
150133;Lima, Lima, distrito: San Juan de Miraflores;   59 759;   15 689;   1 636;   43 490;   3 366;   30 756;   69 143;148;   3 590;   70 737;   1 652;85;   5 656
150134;Lima, Lima, distrito: San Luis;   12 529;763;195;   3 860;26;   9 643;   13 372;43;78;   13 587;4;0;11
150135;Lima, Lima, distrito: San Martín de Porres;   141 001;   15 970;   3 761;   76 239;   4 661;   81 940;   156 825;   1 531;   1 297;   157 123;   1 982;566;   3 893
150136;Lima, Lima, distrito: San Miguel;   40 881;   1 469;462;   6 359;140;   37 016;   42 583;870;145;   43 753;54;7;21
150137;Lima, Lima, distrito: Santa Anita;   46 544;   3 994;823;   28 827;857;   21 911;   50 696;200;406;   51 370;269;4;150
150138;Lima, Lima, distrito: Santa María del Mar;220;39;19;111;8;163;272;0;9;198;0;0;84
150139;Lima, Lima, distrito: Santa Rosa;   2 155;   5 298;419;   5 292;   1 839;   1 052;   3 093;642;188;   2 998;304;21;   4 991
150140;Lima, Lima, distrito: Santiago de Surco;   91 505;   3 215;848;   12 077;530;   83 119;   94 710;   1 259;461;   96 534;247;24;264
150141;Lima, Lima, distrito: Surquillo;   24 558;   1 293;458;   6 312;82;   21 064;   25 819;   1 646;176;   27 806;7;2;11
150142;Lima, Lima, distrito: Villa el Salvador;   59 078;   21 267;   2 000;   59 108;   3 018;   21 121;   73 251;150;   3 166;   78 701;   1 622;318;   3 134
150143;Lima, Lima, distrito: Villa María del Triunfo;   49 225;   39 720;   3 124;   61 987;   10 100;   20 861;   68 824;523;   9 506;   73 746;   5 808;501;   13 766
150201;Lima, Barranca, distrito: Barranca;   8 612;   1 050;   7 154;   10 140;   3 117;   3 829;   10 023;   6 170;853;   15 646;175;402;906
150202;Lima, Barranca, distrito: Paramonga;   3 306;839;   2 034;   4 331;895;   1 071;   4 547;   1 455;280;   5 906;92;172;150
150203;Lima, Barranca, distrito: Pativilca;   1 293;415;   3 247;   3 089;   1 522;408;   2 452;   1 687;841;   4 523;126;44;350
150204;Lima, Barranca, distrito: Supe;   1 939;440;   3 846;   3 558;   2 025;682;   3 506;   1 847;873;   5 159;161;448;535
150205;Lima, Barranca, distrito: Supe Puerto;   1 312;438;   1 473;   1 912;838;550;   2 166;442;575;   2 892;358;36;45
150301;Lima, Cajatambo, distrito: Cajatambo;3;567;46;117;475;3;28;530;54;551;3;24;39
150302;Lima, Cajatambo, distrito: Copa;0;271;4;1;273;1;1;273;1;244;6;0;25
150303;Lima, Cajatambo, distrito: Gorgor;9;497;15;66;451;2;21;477;23;244;22;135;120
150304;Lima, Cajatambo, distrito: Huancapon;0;378;7;19;361;1;2;370;13;248;0;23;115
150305;Lima, Cajatambo, distrito: Manas;24;320;15;100;251;8;50;276;30;228;12;22;98
150401;Lima, Canta, distrito: Canta;47;608;14;271;333;24;137;477;42;588;6;44;44
150402;Lima, Canta, distrito: Arahuay;19;228;6;127;92;3;53;189;17;203;2;36;32
150403;Lima, Canta, distrito: Huamantanga;4;281;20;66;235;1;10;269;14;261;12;0;32
150404;Lima, Canta, distrito: Huaros;5;271;17;68;200;1;18;240;36;245;12;19;23
150405;Lima, Canta, distrito: Lachaqui;1;381;20;56;302;2;19;365;63;341;13;33;61
150406;Lima, Canta, distrito: San Buenaventura;7;221;3;49;180;0;17;200;10;207;4;8;12
150407;Lima, Canta, distrito: Santa Rosa de Quives;323;   1 149;100;   1 026;480;73;592;387;111;   1 010;207;65;310
150501;Lima, Cañete, distrito: San Vicente de Cañete;   6 455;   2 209;   6 335;   8 932;   3 062;   3 310;   10 052;   2 621;   1 506;   10 233;325;   1 460;   3 413
150502;Lima, Cañete, distrito: Asia;   1 071;529;800;   1 627;361;464;   1 675;194;387;   2 068;29;122;245
150503;Lima, Cañete, distrito: Calango;199;218;292;436;243;49;312;250;105;657;26;10;36
150504;Lima, Cañete, distrito: Cerro Azul;740;335;989;   1 284;468;408;   1 504;106;381;   1 709;148;85;231
150505;Lima, Cañete, distrito: Chilca;   2 064;   2 146;780;   3 547;786;811;   3 516;82;594;   3 221;30;75;   1 853
150506;Lima, Cañete, distrito: Coayllo;108;143;134;211;164;29;195;108;68;306;2;40;56
150507;Lima, Cañete, distrito: Imperial;   4 386;627;   4 427;   5 737;   2 472;   1 396;   5 654;   2 940;747;   8 422;106;383;740
150508;Lima, Cañete, distrito: Lunahuana;407;168;823;731;560;132;609;570;187;   1 240;6;14;172
150509;Lima, Cañete, distrito: Mala;   4 003;   2 032;   1 558;   5 398;960;   1 410;   5 612;466;   1 043;   6 613;310;631;252
150510;Lima, Cañete, distrito: Nuevo Imperial;   1 785;794;   4 202;   3 986;   2 572;313;   3 041;   1 844;   1 729;   3 968;144;121;   2 661
150511;Lima, Cañete, distrito: Pacaran;134;63;243;190;220;33;179;195;58;372;3;0;69
150512;Lima, Cañete, distrito: Quilmana;   1 181;243;   2 956;   2 860;   1 287;267;   2 248;   1 743;361;   3 541;14;374;496
150513;Lima, Cañete, distrito: San Antonio;569;417;179;853;153;182;771;48;211;902;32;56;202
150514;Lima, Cañete, distrito: San Luis;   1 549;306;   1 515;   2 151;781;504;   2 193;869;265;   3 171;64;167;67
150515;Lima, Cañete, distrito: Santa Cruz de Flores;444;239;172;601;138;146;592;36;147;724;13;33;119
150516;Lima, Cañete, distrito: Zúñiga;84;73;209;150;197;24;134;141;69;237;3;15;117
150601;Lima, Huaral, distrito: Huaral;   13 578;   3 165;   8 151;   16 240;   4 141;   4 932;   17 308;   6 895;945;   19 194;445;   4 181;   1 555
150602;Lima, Huaral, distrito: Atavillos Alto;0;266;9;45;160;0;9;214;52;235;23;8;10
150603;Lima, Huaral, distrito: Atavillos Bajo;25;314;5;158;168;6;62;268;12;329;0;8;9
150604;Lima, Huaral, distrito: Aucallama;   1 176;629;   2 682;   3 080;   1 257;240;   1 939;   2 106;401;   3 236;62;   1 085;206
150605;Lima, Huaral, distrito: Chancay;   7 432;   2 224;   4 473;   9 240;   2 189;   3 019;   10 577;   1 876;966;   12 656;151;894;798
150606;Lima, Huaral, distrito: Ihuari;15;642;16;122;546;0;46;575;50;183;24;40;426
150607;Lima, Huaral, distrito: Lampian;6;139;1;38;101;1;7;137;3;135;0;1;11
150608;Lima, Huaral, distrito: Pacaraos;3;399;15;88;299;0;23;374;24;312;93;10;7
150609;Lima, Huaral, distrito: San Miguel de Acos;32;140;0;75;82;12;47;113;5;170;0;0;6
150610;Lima, Huaral, distrito: Santa Cruz de Andamarca;2;146;4;40;91;0;8;145;4;138;0;7;12
150611;Lima, Huaral, distrito: Sumbilca;9;283;1;80;218;2;18;274;12;208;28;27;42
